Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
6helos_7areas_T30_S4,30,Greedy,0.4449122226295154,0.1974264331127893,19,0.6333333333333333,19,0.6333333333333333,16,0.5333333333333333,36.78947368421053,82.0,104.0,276.7904693672365,452.6145772226854,0.44357447013980206,0.7253438737543035,162.79046936723648,153.8241078554489,316.6145772226854,22.0,338.6145772226854,0.8975274678557507,0.1491228070175438,23.777934897074704,0.1708398201412651,0.00039696693420410156,False,,,,
6helos_7areas_T30_S4,30,Exact-HiGHS,0.5543569349724669,2.6035390575286722e-15,24,0.8,24,0.8,22,0.7333333333333333,37.083333333333336,99.0,122.0,318.5521550378692,474.24445497324984,0.43518053966922027,0.6478749384880462,174.55215503786923,137.69229993538062,312.24445497324984,18.0,330.24445497324984,0.5773502691896257,0.06944444444444449,19.478143020994185,0.12026288419630049,64.54135775566101,True,0.0,166820.0,52100.0,396893.0
6helos_7areas_T30_S5,30,Greedy,0.45076484320692783,0.16119752162636714,22,0.7333333333333333,22,0.7333333333333333,17,0.5666666666666667,40.36363636363637,98.0,125.0,355.0660848474897,601.2160931936198,0.47342144646331963,0.8016214575914931,223.06608484748972,220.15000834613005,443.21609319361977,26.0,469.21609319361977,0.4714045207910317,0.06060606060606055,13.052291741473256,0.07266835334743593,0.00037407875061035156,False,,,,
6helos_7areas_T30_S5,30,Exact-HiGHS,0.537390929126631,1.0329752182731223e-15,26,0.8666666666666667,26,0.8666666666666667,22,0.7333333333333333,38.84615384615385,97.0,120.0,358.6683685772442,581.3175666036354,0.4981505119128392,0.8073855091717159,202.66836857724425,196.6491980263912,399.31756660363544,26.0,425.31756660363544,0.9428090415820632,0.11538461538461542,15.846319689518891,0.09124424048687214,85.08215188980103,True,0.0,184996.0,57194.0,441245.0
6helos_7areas_T30_S6,30,Greedy,0.4156932242731578,0.20643652264454973,21,0.7,21,0.7,17,0.5666666666666667,41.857142857142854,114.0,138.0,317.8152178125351,532.281025513656,0.3838348041214192,0.6428514800889565,191.81521781253508,188.46580770112098,380.28102551365606,26.0,406.28102551365606,1.118033988749895,0.16666666666666666,33.137143352983124,0.2116793783425129,0.0003821849822998047,False,,,,
6helos_7areas_T30_S6,30,Exact-HiGHS,0.5238310937121946,-2.1194294075928605e-16,23,0.7666666666666667,23,0.7666666666666667,20,0.6666666666666666,37.869565217391305,101.0,122.0,316.7957167960192,501.6059468523379,0.43278103387434314,0.68525402575456,178.7957167960192,160.81023005631874,339.605946852338,24.0,363.605946852338,0.6871842709362768,0.09420289855072461,22.81628204630763,0.15102616412037775,11.183728218078613,True,0.0,49119.0,16047.0,115923.0
6helos_7areas_T30_S7,30,Greedy,0.44050299535961984,0.1741038474488785,22,0.7333333333333333,22,0.7333333333333333,18,0.6,41.68181818181818,90.0,117.0,350.76136126784405,578.0811907121134,0.49966005878610265,0.8234774796468852,218.76136126784405,203.3198294442694,422.0811907121134,24.0,446.0811907121134,0.7453559924999298,0.10606060606060612,11.520358379370457,0.067871015594038,0.00034689903259277344,False,,,,
6helos_7areas_T30_S7,30,Exact-HiGHS,0.5333636607931201,1.040774902975426e-15,25,0.8333333333333334,25,0.8333333333333334,21,0.7,41.08,93.0,110.0,356.0390888434662,583.27032016873,0.5394531649143427,0.8837429093465606,206.03908884346615,201.23123132526385,407.27032016873,26.0,433.27032016873,0.372677996249965,0.03333333333333336,15.336048949972922,0.06925470977899195,36.47913718223572,True,0.0,89012.0,27240.0,213205.0
6helos_7areas_T30_S8,30,Greedy,0.4420412551489384,0.1831808729084093,22,0.7333333333333333,22,0.7333333333333333,19,0.6333333333333333,38.90909090909091,85.0,106.0,300.87871427174673,484.1775874531646,0.4730797394209854,0.7612855148634664,168.87871427174676,161.29887318141792,330.1775874531647,22.0,352.1775874531647,1.1055415967851332,0.16666666666666666,16.33030665734066,0.11379969399552096,0.0003781318664550781,False,,,,
6helos_7areas_T30_S8,30,Exact-HiGHS,0.5411739765728707,2.66696107812264e-15,24,0.8,24,0.8,22,0.7333333333333333,35.041666666666664,80.0,80.0,283.1144012164772,407.88421596186737,0.5898216692009941,0.8497587832538903,139.1144012164772,104.76981474539019,243.8842159618674,20.0,263.8842159618674,0.816496580927726,0.11111111111111116,10.404202852803383,0.08078372538267613,45.49847602844238,True,0.0,141095.0,44631.0,334637.0
6helos_7areas_T30_S9,30,Greedy,0.4273785601516888,0.22212974364194338,21,0.7,21,0.7,18,0.6,38.38095238095238,94.0,104.0,308.845759951583,513.7523840818744,0.4949451281275368,0.8233211283363372,182.84575995158298,180.9066241302914,363.75238408187437,24.0,387.75238408187437,0.9574271077563381,0.15079365079365084,15.954993054493416,0.09919264891754986,0.00036716461181640625,False,,,,
6helos_7areas_T30_S9,30,Exact-HiGHS,0.549421393424444,3.7181121626475907e-14,26,0.8666666666666667,26,0.8666666666666667,21,0.7,41.46153846153846,114.0,141.0,351.1474758672033,513.8002735825355,0.4150679383773089,0.6073289285845573,195.14747586720333,142.65279771533224,337.80027358253557,20.0,357.80027358253557,1.1055415967851332,0.14102564102564097,30.72757460755709,0.20011108028178923,90.28338599205017,True,0.0,204803.0,62571.0,489954.0
6helos_7areas_T30_S10,30,Greedy,0.4501326055627018,0.09908570650009038,21,0.7,21,0.7,19,0.6333333333333333,37.0,87.0,110.0,323.4475831605464,517.2028370841274,0.4900720956977976,0.7836406622486779,197.44758316054637,173.75525392358094,371.2028370841273,20.0,391.2028370841273,0.5,0.07142857142857147,17.351713535866644,0.11151647918246772,0.000354766845703125,False,,,,
6helos_7areas_T30_S10,30,Exact-HiGHS,0.49963976463732995,1.2221258329730096e-15,23,0.7666666666666667,23,0.7666666666666667,20,0.6666666666666666,39.34782608695652,102.0,129.0,322.9451727301872,472.6446958007476,0.4172418252328,0.6106520617580719,184.94517273018718,133.69952307056045,318.6446958007476,16.0,334.6446958007476,0.8975274678557507,0.10869565217391308,22.91672909003724,0.15271279538202057,120.49347519874573,True,0.0,225587.0,66652.0,544075.0
6helos_7areas_T40_S1,40,Greedy,0.35984064396747595,0.16408906293452535,27,0.675,27,0.675,19,0.475,48.7037037037037,115.0,137.0,391.2590403131247,625.3529532799323,0.4759842339575726,0.7607700161556354,229.25904031312467,208.09391296680766,437.3529532799323,26.0,463.3529532799323,1.3844373104863459,0.16666666666666666,21.360991890131544,0.11532334576714269,0.0005190372467041016,False,,,,
