policy,seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
PPO,36,0.7916559594778259,6,1.0,0.6666666666666666,9.666666666666666,57.0,35.509396698377756,0,0,16
Greedy online,37,0.6877785351529877,6,1.0,0.6666666666666666,13.666666666666666,58.0,33.374381241290855,0,0,15
PPO,37,0.7831119628150884,6,1.0,0.8333333333333334,13.5,58.0,33.23354888386128,0,0,15
Greedy online,38,0.8170567375157134,6,1.0,0.8333333333333334,11.833333333333334,39.0,27.42390706998671,0,0,15
PPO,38,0.8323995629284958,6,1.0,0.8333333333333334,12.166666666666666,39.0,25.345393383840104,0,0,15
Greedy online,39,0.863026875846808,6,1.0,0.8333333333333334,19.166666666666668,62.0,31.340496993937634,2,0,15
PPO,39,0.8782498483927896,6,1.0,1.0,19.0,62.0,30.179753128710445,2,0,15
Greedy online,40,0.7529400830538255,6,1.0,0.8333333333333334,12.833333333333334,57.0,28.5002223464946,0,0,13
PPO,40,0.7577083632308124,6,1.0,0.8333333333333334,12.5,54.0,28.62000910379441,0,0,13
Greedy online,41,0.7239924561563882,6,1.0,1.0,12.833333333333334,59.0,36.41194378951403,0,0,17
PPO,41,0.7563123826180687,6,1.0,1.0,12.0,58.0,35.920145193357726,0,0,16
Greedy online,42,0.8053120909294047,6,1.0,0.8333333333333334,16.5,50.0,34.01653254132209,0,0,15
PPO,42,0.9397417296553228,6,1.0,1.0,16.833333333333332,46.0,36.166086097087586,0,0,14
Greedy online,43,0.9158031139365657,6,1.0,1.0,14.166666666666666,50.0,35.6790397599185,0,0,16
PPO,43,0.9158031139365657,6,1.0,1.0,14.166666666666666,50.0,35.6790397599185,0,0,16
Greedy online,44,0.7614534337028781,6,1.0,0.8333333333333334,18.166666666666668,59.0,30.60275257560277,1,0,13
PPO,44,0.7614534337028781,6,1.0,0.8333333333333334,18.166666666666668,59.0,30.60275257560277,1,0,13
Greedy online,45,0.7402366309524965,6,1.0,0.8333333333333334,26.333333333333332,57.0,30.89456142195072,1,0,13
PPO,45,0.9216290030320151,6,1.0,1.0,26.166666666666668,47.0,30.824644821963638,1,0,13
Greedy online,46,0.6443068787360542,6,1.0,0.6666666666666666,15.0,53.0,36.12400057095495,0,0,17
PPO,46,0.6810052075513472,6,1.0,0.6666666666666666,14.666666666666666,53.0,35.84587588566607,0,0,15
Greedy online,47,0.730932745451299,6,1.0,0.8333333333333334,14.833333333333334,54.0,34.20376476174941,0,0,15
PPO,47,0.7678391480738609,6,1.0,0.8333333333333334,14.0,42.0,30.84840827855062,0,0,16
Greedy online,48,0.7115061219041243,6,1.0,0.8333333333333334,14.166666666666666,54.0,26.796784620417622,0,0,14
PPO,48,0.8303564830310095,6,1.0,1.0,12.0,54.0,26.843252653892783,0,0,14
Greedy online,49,0.8394099125540397,6,1.0,0.8333333333333334,13.0,41.0,24.702066719587005,0,0,14
PPO,49,0.9539090543811835,6,1.0,1.0,14.166666666666666,43.0,26.773916651755982,0,0,14
Greedy online,50,0.7387755104950955,6,1.0,0.6666666666666666,12.5,62.0,29.874538162035577,0,0,15
PPO,50,0.7827684410132529,6,1.0,0.8333333333333334,11.5,61.0,26.264171715326,0,0,15
Greedy online,51,0.7530480784748634,6,1.0,0.6666666666666666,11.0,65.0,32.12466515939871,0,0,15
PPO,51,0.7927193087968292,6,1.0,0.8333333333333334,9.833333333333334,58.0,34.43961478568096,0,0,16
Greedy online,52,0.7458108262196137,6,1.0,0.8333333333333334,15.666666666666666,46.0,31.025981304492415,0,0,14
PPO,52,0.868836225299187,6,1.0,1.0,11.666666666666666,46.0,27.353576981180307,0,0,14
Greedy online,53,0.6024486678926307,6,1.0,0.6666666666666666,12.0,53.0,27.000729059358605,0,0,13
