tasks,instance_seed,replicate,episode_seed,policy,ppo_seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps,medical_completion_rate,medical_benefit,personnel_completion_rate,personnel_benefit,cargo_completion_rate,cargo_benefit
20,7,0,12000700,Greedy online,-1,0.4882498237343109,16,0.8,0.4,22.375,98.0,214.3265088022978,0,0,36,1.0,0.2350031567374179,0.6,0.10158397334206176,0.8,0.15166269365483118
20,7,0,12000700,PPO,218,0.37778019111639854,13,0.65,0.4,27.0,80.0,128.68432166261726,1,0,30,0.6,0.14195570835374227,0.6,0.08916038414078085,0.7,0.1466640986218754
20,8,0,12000800,Greedy online,-1,0.3337881421425459,13,0.65,0.35,27.923076923076923,99.0,219.47724467449643,1,0,40,0.8571428571428571,0.13309461655430047,0.6666666666666666,0.17003758603200309,0.25,0.030655939556242327
20,8,0,12000800,PPO,218,0.23353184349105177,6,0.3,0.25,20.5,58.0,80.73037053926511,0,0,24,0.2857142857142857,0.0765372691519294,0.3333333333333333,0.12524854259309062,0.25,0.031746031746031744
20,9,0,12000900,Greedy online,-1,0.4051330779538718,12,0.6,0.4,23.666666666666668,109.0,231.98422415596428,0,0,33,0.7,0.27369499029749794,0.5,0.08587427488570953,0.5,0.04556381277066438
20,9,0,12000900,PPO,218,0.2863032616167412,8,0.4,0.25,21.5,61.0,77.7380029357919,0,0,26,0.3,0.15434086954196702,0.75,0.0971241272632911,0.3333333333333333,0.034838264811483076
20,10,0,12001000,Greedy online,-1,0.35860788801911897,15,0.75,0.25,34.8,95.0,206.33317914978292,1,0,35,0.7142857142857143,0.19975078072134936,0.6666666666666666,0.13482415969004796,1.0,0.024032947607721657
20,10,0,12001000,PPO,218,0.3230451194024666,11,0.55,0.3,26.90909090909091,73.0,127.84752261965079,0,0,35,0.2857142857142857,0.12698412698412698,0.5555555555555556,0.12677747899220942,1.0,0.06928351342613014
20,11,0,12001100,Greedy online,-1,0.3221321759852913,11,0.55,0.35,34.90909090909091,86.0,232.24830668210356,0,0,33,0.5454545454545454,0.2429988906432438,0.3333333333333333,0.0014094552012310962,0.6666666666666666,0.07772383014081645
20,11,0,12001100,PPO,218,0.2074110338103997,7,0.35,0.2,27.0,55.0,110.36482634880936,0,0,29,0.2727272727272727,0.13511611446122035,0.6666666666666666,0.011623087718016957,0.3333333333333333,0.06067183163116241
20,12,0,12001200,Greedy online,-1,0.5233363578671462,15,0.75,0.5,22.4,103.0,153.76505088389789,1,0,36,0.8181818181818182,0.43918677361385056,0.6,0.039501492007945026,0.75,0.044648092245350636
20,12,0,12001200,PPO,218,0.4647008271895165,12,0.6,0.45,22.416666666666668,69.0,100.53109350094792,1,0,37,0.7272727272727273,0.35734723688111264,0.4,0.059379566036457124,0.5,0.04797402427194675
20,13,0,12001300,Greedy online,-1,0.3781725282143795,13,0.65,0.35,30.923076923076923,92.0,223.5540678700641,1,0,35,0.8181818181818182,0.29642574333809524,0.4,0.07281628260784616,0.5,0.008930502268438103
20,13,0,12001300,PPO,218,0.3113805729021878,9,0.45,0.25,23.77777777777778,68.0,94.44061415096499,1,0,30,0.6363636363636364,0.29396951488268025,0.2,0.014475448450525119,0.25,0.002935609568982421
20,14,0,12001400,Greedy online,-1,0.3893447634352056,14,0.7,0.35,32.214285714285715,105.0,212.5261783971693,4,0,40,0.6,0.1480896357159554,0.6363636363636364,0.17399168945695245,1.0,0.06726343826229772
20,14,0,12001400,PPO,218,0.3095953776750164,12,0.6,0.3,28.75,81.0,183.3538552208817,0,0,32,0.4,0.07875958550431379,0.6363636363636364,0.16480201241296372,0.75,0.06603377975773886
