Scenario,Tasks,Method,Accumulated Benefit,Physical Completed Tasks,Average Response Time,Maximum Response Time,Productive Time,Active Time,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Optimality Gap vs Exact,Physical Completion Rate,Positive Benefit Tasks,Operationally Relevant Tasks,Makespan
4helos_4areas_T30_S6,30,Exact-HiGHS,0.4236794320076281,19,38.421052631578945,94.0,215.2111046206643,332.1290326859694,101.21110462066427,98.91792806530509,200.12903268596938,18.0,218.12903268596938,3.9100019931793213,True,0.0,26657.0,8246.0,63847.0,,,,,
4helos_4areas_T30_S7,30,Greedy,0.35330340745687955,18,43.5,94.0,240.25427331326102,361.71837579452534,132.25427331326102,105.46410248126432,237.71837579452534,16.0,253.71837579452534,0.0002551078796386719,False,,,,,,,,,
4helos_4areas_T30_S7,30,Exact-HiGHS,0.4386941186553958,22,46.04545454545455,110.0,263.24339866924595,414.17006410464285,131.24339866924595,128.9266654353969,260.17006410464285,22.0,282.17006410464285,9.97694993019104,True,0.0,61003.0,18366.0,146659.0,,,,,
4helos_4areas_T30_S8,30,Greedy,0.3746036082317107,21,46.57142857142857,116.0,258.4819919751066,412.07123730463275,132.4819919751066,131.58924532952616,264.07123730463275,22.0,286.07123730463275,0.0003380775451660156,False,,,,,,,,,
4helos_4areas_T30_S8,30,Exact-HiGHS,0.43760675919810027,22,43.13636363636363,100.0,242.3693846874227,369.26262653525,110.3693846874227,104.89324184782731,215.26262653525,22.0,237.26262653525,21.049695014953613,True,0.0,83506.0,25363.0,200135.0,,,,,
4helos_4areas_T30_S9,30,Greedy,0.35334874599471033,18,42.333333333333336,114.0,228.88521099174562,367.6675409061765,120.88521099174562,118.78232991443087,239.6675409061765,20.0,259.6675409061765,0.0002942085266113281,False,,,,,,,,,
4helos_4areas_T30_S9,30,Exact-HiGHS,0.4279099610814466,21,43.76190476190476,114.0,231.2834808893757,335.2227940264795,105.28348088937571,85.93931313710382,191.22279402647953,18.0,209.22279402647953,25.621134757995605,True,0.0,104872.0,30497.0,254008.0,,,,,
4helos_4areas_T30_S10,30,Greedy,0.29662627731238755,16,45.25,114.0,239.9952836609329,394.04299406867045,143.9952836609329,136.04771040773755,280.04299406867045,18.0,298.04299406867045,0.0002942085266113281,False,,,,,,,,,
4helos_4areas_T30_S10,30,Exact-HiGHS,0.3847585570561777,20,43.3,108.0,247.39817417968504,393.7456179934483,127.39817417968506,126.34744381376328,253.74561799344832,20.0,273.7456179934483,49.19780898094177,True,0.0,114022.0,32576.0,277298.0,,,,,
4helos_4areas_T40_S1,40,Greedy,0.2710838037710642,19,46.21052631578947,111.0,239.39643345207745,383.8278472657775,125.39643345207745,124.43141381370006,249.8278472657775,20.0,269.8278472657775,0.00045108795166015625,False,,,,,,,,,
4helos_4areas_T40_S1,40,Exact-HiGHS,0.2814125058387025,15,32.06666666666667,64.0,163.91712363249604,239.07375392251214,73.91712363249606,61.156630290016096,135.07375392251214,14.0,149.07375392251214,186.87112498283386,False,0.1835925799210863,257219.0,71589.0,628900.0,,,,,
4helos_4areas_T40_S2,40,Greedy,0.3066705586091508,21,43.38095238095238,112.0,234.43063022739307,360.43465464127064,108.43063022739305,106.0040244138776,214.43465464127064,20.0,234.43465464127064,0.0005018711090087891,False,,,,,,,,,
4helos_4areas_T40_S3,40,Greedy,0.2801600816057268,21,47.904761904761905,119.0,244.28554023710495,382.3376240119585,118.28554023710495,116.05208377485351,234.33762401195847,22.0,256.3376240119585,0.0006868839263916016,False,,,,,,,,,
4helos_4areas_T40_S3,40,Exact-HiGHS,0.38749998523241047,26,46.19230769230769,121.0,264.14453063952755,376.1895838191672,108.14453063952755,90.04505317963961,198.18958381916715,22.0,220.18958381916715,102.45489883422852,True,0.0,128486.0,34745.0,316377.0,,,,,
4helos_4areas_T40_S4,40,Greedy,0.29970839684265776,20,46.3,106.0,235.24077744025544,369.4281711465269,115.24077744025544,114.18739370627145,229.4281711465269,20.0,249.4281711465269,0.0009047985076904297,False,,,,,,,,,
4helos_4areas_T40_S4,40,Exact-HiGHS,0.24310627544619476,15,43.6,108.0,181.76710844001934,285.61911791820444,91.76710844001934,87.85200947818508,179.61911791820444,16.0,195.61911791820444,182.56595087051392,False,0.4630159979277039,306273.0,80982.0,757284.0,,,,,
4helos_4areas_T40_S5,40,Greedy,0.3025726752172592,21,43.80952380952381,114.0,236.27495998610695,364.15471311622474,110.27495998610695,107.87975313011779,218.15471311622474,20.0,238.15471311622474,0.0009050369262695312,False,,,,,,,,,
4helos_4areas_T40_S5,40,Exact-HiGHS,0.35237522170105695,24,45.166666666666664,109.0,257.5774259336206,392.5913958615703,113.57742593362059,111.01396992794972,224.5913958615703,24.0,248.5913958615703,144.80709505081177,True,0.0,222837.0,60303.0,548334.0,,,,,
4helos_4areas_T40_S6,40,Greedy,0.2737561202441969,20,46.25,110.0,252.44726136230915,394.17890730835165,132.44726136230915,119.73164594604252,252.17890730835165,22.0,274.17890730835165,0.0008733272552490234,False,,,,,,,,,
4helos_4areas_T40_S6,40,Exact-HiGHS,0.3410602365683584,23,46.26086956521739,107.0,265.1066285249616,412.25746713866204,127.10662852496158,125.15083861370042,252.25746713866198,22.0,274.257467138662,14.935513019561768,True,0.0,94210.0,28107.0,226834.0,,,,,
4helos_4areas_T40_S7,40,Greedy,0.33189253232529764,24,45.708333333333336,105.0,249.03805443332422,371.84474642052777,105.03805443332422,102.80669198720356,207.84474642052777,20.0,227.84474642052777,0.000392913818359375,False,,,,,,,,,
4helos_4areas_T40_S7,40,Exact-HiGHS,0.36602119662461685,26,47.61538461538461,107.0,277.08867199070085,417.914980569754,121.08867199070087,118.82630857905318,239.91498056975405,22.0,261.91498056975405,140.79783868789673,True,0.0,166712.0,46939.0,406675.0,,,,,
4helos_4areas_T40_S8,40,Greedy,0.31346609748372933,23,46.17391304347826,108.0,268.69729023085495,412.17331554636326,130.69729023085495,121.47602531550834,252.17331554636328,22.0,274.17331554636326,0.0005748271942138672,False,,,,,,,,,
4helos_4areas_T40_S8,40,Exact-HiGHS,0.34846295623921997,24,44.916666666666664,109.0,268.1687249978032,396.04217186560766,124.16872499780325,105.87344686780445,230.0421718656077,22.0,252.0421718656077,93.49121379852295,True,0.0,194377.0,51714.0,480083.0,,,,,
4helos_4areas_T40_S9,40,Greedy,0.2915532788153484,21,47.904761904761905,104.0,248.47209978897496,388.4275227953216,122.47209978897496,119.95542300634663,242.42752279532158,20.0,262.4275227953216,0.0008842945098876953,False,,,,,,,,,
4helos_4areas_T40_S9,40,Exact-HiGHS,0.0,0,,,,,,,0.0,,0.0,181.83959770202637,False,inf,266150.0,69753.0,659363.0,,0.0,0.0,0.0,0.0
4helos_4areas_T40_S10,40,Greedy,0.2634392087636436,19,45.8421052631579,107.0,248.26490838672456,385.20801637730324,134.26490838672456,116.94310799057871,251.20801637730327,20.0,271.20801637730324,0.0008981227874755859,False,,,,,,,,,
4helos_4areas_T50_S1,50,Greedy,0.2392220068901895,22,47.13636363636363,103.0,259.9134746481783,404.9877805785733,127.91347464817831,125.07430593039498,252.98778057857328,20.0,272.9877805785733,0.0005567073822021484,False,,,,,,,,,
4helos_4areas_T50_S2,50,Greedy,0.2666742209269001,24,48.291666666666664,113.0,251.8172729798178,379.2771767116815,107.8172729798178,105.4599037318637,213.2771767116815,22.0,235.2771767116815,0.0007219314575195312,False,,,,,,,,,
4helos_4areas_T50_S3,50,Greedy,0.23841346571123284,24,51.041666666666664,116.0,262.95677473861303,405.43149429596133,118.95677473861302,118.47471955734832,237.43149429596133,24.0,261.43149429596133,0.0006337165832519531,False,,,,,,,,,
4helos_4areas_T50_S3,50,Exact-HiGHS,0.3275578429512543,27,42.48148148148148,104.0,256.1019877995687,370.0494017120609,94.10198779956868,91.9474139124922,186.04940171206087,22.0,208.04940171206087,181.53218603134155,False,0.011753856380672865,217628.0,57067.0,539179.0,,,,,
4helos_4areas_T50_S4,50,Greedy,0.24831174781839135,22,47.86363636363637,103.0,255.79984459026664,398.949520403274,123.79984459026664,121.14967581300735,244.949520403274,22.0,266.949520403274,0.0008471012115478516,False,,,,,,,,,
4helos_4areas_T50_S5,50,Greedy,0.24250125431302536,21,44.523809523809526,102.0,232.8135418690045,358.86313817980624,106.81354186900448,106.04959631080177,212.86313817980624,20.0,232.86313817980624,0.00055694580078125,False,,,,,,,,,
4helos_4areas_T50_S6,50,Greedy,0.2383036563378028,21,46.19047619047619,108.0,245.41443997258628,384.05665027000776,119.41443997258628,116.64221029742149,236.05665027000776,22.0,258.05665027000776,0.0005390644073486328,False,,,,,,,,,
4helos_4areas_T50_S6,50,Exact-HiGHS,0.28770682196241165,24,44.875,100.0,258.1416587318207,391.28836056542144,114.14165873182074,111.14670183360073,225.28836056542147,22.0,247.28836056542147,48.066044092178345,True,0.0,156436.0,44657.0,380434.0,,,,,
4helos_4areas_T50_S7,50,Greedy,0.26724589179219327,24,45.708333333333336,105.0,249.03805443332422,371.84474642052777,105.03805443332422,102.80669198720356,207.84474642052777,20.0,227.84474642052777,0.0005362033843994141,False,,,,,,,,,
4helos_4areas_T50_S7,50,Exact-HiGHS,0.29374456449966396,27,47.55555555555556,113.0,280.7939701630898,420.8861441581517,118.7939701630898,116.0921739950619,234.8861441581517,24.0,258.8861441581517,181.66120505332947,False,0.00397275961023082,207876.0,57320.0,509432.0,,,,,
4helos_4areas_T50_S8,50,Greedy,0.2760224200662709,24,46.583333333333336,108.0,272.3743458844376,414.96921450816205,128.3743458844376,118.59486862372447,246.96921450816205,24.0,270.96921450816205,0.000576019287109375,False,,,,,,,,,
4helos_4areas_T50_S8,50,Exact-HiGHS,0.31628476522899784,27,44.55555555555556,100.0,275.4155147123895,394.8032165347656,113.41551471238947,97.38770182237612,210.80321653476557,22.0,232.80321653476557,157.38394594192505,True,0.0,271223.0,70353.0,673384.0,,,,,
4helos_4areas_T50_S9,50,Greedy,0.2354035044899109,23,51.130434782608695,115.0,270.2341136281778,422.3248416851301,132.2341136281778,128.0907280569523,260.3248416851301,24.0,284.3248416851301,0.0005891323089599609,False,,,,,,,,,
4helos_4areas_T50_S10,50,Greedy,0.23151951081249514,23,51.65217391304348,113.0,280.617821652134,426.28681900203924,142.61782165213404,123.66899734990523,266.28681900203924,22.0,288.28681900203924,0.0008940696716308594,False,,,,,,,,,
4helos_4areas_T60_S1,60,Greedy,0.2050518825009242,22,45.18181818181818,101.0,249.0139571568785,383.59943706028946,117.01395715687849,114.58547990341094,231.59943706028943,20.0,251.59943706028943,0.0006799697875976562,False,,,,,,,,,
4helos_4areas_T60_S2,60,Greedy,0.2319041823263668,24,48.291666666666664,115.0,270.57187419490083,411.3878792244366,126.57187419490081,116.81600502953577,243.38787922443657,24.0,267.3878792244366,0.0007359981536865234,False,,,,,,,,,
4helos_4areas_T60_S3,60,Greedy,0.21246175671671702,25,47.44,101.0,256.01049716500614,383.46279279456553,106.01049716500614,105.45229562955936,211.4627927945655,22.0,233.4627927945655,0.001001119613647461,False,,,,,,,,,
4helos_4areas_T60_S4,60,Greedy,0.21294972457348801,23,49.17391304347826,119.0,272.73086214240993,423.7622515717079,134.73086214240993,127.03138942929797,261.7622515717079,24.0,285.7622515717079,0.0007290840148925781,False,,,,,,,,,
4helos_4areas_T60_S5,60,Greedy,0.22891273173553753,25,50.4,119.0,260.4676168008667,389.41741281321526,110.4676168008667,102.94979601234857,213.41741281321526,26.0,239.41741281321526,0.0007669925689697266,False,,,,,,,,,
4helos_4areas_T60_S6,60,Greedy,0.20443779946432403,21,44.57142857142857,106.0,234.5816294536956,362.84986515342007,108.5816294536956,106.26823569972446,214.84986515342007,22.0,236.84986515342007,0.0009441375732421875,False,,,,,,,,,
4helos_4areas_T60_S6,60,Exact-HiGHS,0.23264699247734605,23,42.65217391304348,110.0,250.43712502605337,369.7547332758331,112.43712502605337,95.31760824977971,207.75473327583308,24.0,231.75473327583308,183.02068090438843,False,0.09354524726805993,302418.0,76929.0,753858.0,,,,,
4helos_4areas_T60_S7,60,Greedy,0.23490222254273846,24,44.458333333333336,93.0,250.82894323806343,379.3751781953003,106.82894323806343,106.54623495723686,213.3751781953003,22.0,235.3751781953003,0.0006840229034423828,False,,,,,,,,,
4helos_4areas_T60_S7,60,Exact-HiGHS,0.15290556187561433,17,47.1764705882353,103.0,179.17803860429137,259.21575539183675,77.17803860429137,64.03771678754538,141.21575539183675,16.0,157.21575539183675,182.04688620567322,False,0.6937780371590464,289960.0,75774.0,718797.0,,,,,
4helos_4areas_T60_S8,60,Greedy,0.23111613410001236,24,46.583333333333336,107.0,262.73229671298355,407.1922807720396,118.73229671298355,118.45998405905607,237.19228077203962,26.0,263.1922807720396,0.0007460117340087891,False,,,,,,,,,
4helos_4areas_T60_S9,60,Greedy,0.20992008276518706,23,48.21739130434783,106.0,260.415707857195,400.78083227163734,122.41570785719499,118.36512441444235,240.78083227163734,22.0,262.78083227163734,0.0007379055023193359,False,,,,,,,,,
4helos_4areas_T60_S9,60,Exact-HiGHS,0.1179812367952246,10,30.0,61.0,125.86754678078512,154.7410891567781,65.86754678078512,22.873542375992976,88.74108915677809,6.0,94.74108915677809,184.6161549091339,False,927.6853787242444,646672.0,152031.0,1636414.0,,,,,
4helos_4areas_T60_S10,60,Greedy,0.19953664357497936,22,49.22727272727273,107.0,259.2673187364018,410.0167435213662,127.26731873640183,126.74942478496439,254.0167435213662,24.0,278.0167435213662,0.0007309913635253906,False,,,,,,,,,
