Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,Has Incumbent,MIP Nodes,Time Limit sec,Solver Status Code
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,HiGHS-5s,0.5056808382580804,0.722326454033771,0.7082152974504247,14.0,0.7,11.0,5.0,1500.0,0.8461538461538461,0.5,0.7317073170731707,39.0,79.0,92.0,212.14136571344943,107.95881621799099,104.18254949545843,0.0023836974771866523,1.3642272080032853,1.3642272080032853,0.01673175000178162,0.053141875003348105,1.434100833008415,True,0.0,0.5056808382580804,0.5056808382580804,4470.0,2223.0,11211.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,5.0,0.0
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,HiGHS-15s,0.5056808382580804,0.722326454033771,0.7082152974504247,14.0,0.7,11.0,5.0,1500.0,0.8461538461538461,0.5,0.7317073170731707,39.0,79.0,92.0,212.14136571344943,107.95881621799099,104.18254949545843,0.0023836974771866523,1.7416892080073012,1.7416892080073012,0.01673175000178162,0.053141875003348105,1.811562833012431,True,0.0,0.5056808382580804,0.5056808382580804,4470.0,2223.0,11211.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,HiGHS-60s,0.5056808382580804,0.722326454033771,0.7082152974504247,14.0,0.7,11.0,5.0,1500.0,0.8461538461538461,0.5,0.7317073170731707,39.0,79.0,92.0,212.14136571344943,107.95881621799099,104.18254949545843,0.0023836974771866523,1.5184265419957228,1.5184265419957228,0.01673175000178162,0.053141875003348105,1.5883001670008525,True,0.0,0.5056808382580804,0.5056808382580804,4470.0,2223.0,11211.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0006,6,150,A4x4_T20_S6,6,20,HiGHS-600s,0.5056808382580804,0.722326454033771,0.7082152974504247,14.0,0.7,11.0,5.0,1500.0,0.8461538461538461,0.5,0.7317073170731707,39.0,79.0,92.0,212.14136571344943,107.95881621799099,104.18254949545843,0.0023836974771866523,1.582405542008928,1.582405542008928,0.01673175000178162,0.053141875003348105,1.6522791670140577,True,0.0,0.5056808382580804,0.5056808382580804,4470.0,2223.0,11211.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,Greedy-Benefit,0.6244546918848795,0.8560975609756095,0.8655172413793101,16.0,0.8,6.0,8.0,1850.0,0.8571428571428571,0.8,0.925,39.375,82.0,107.0,222.87081944609784,115.07639689162636,107.79442255447148,0.002801868335374009,0.0011777080071624368,,,,0.0011782080109696835,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,Greedy-Density-Operational,0.5879155955393572,0.7390243902439023,0.7344827586206895,15.0,0.75,6.0,6.0,1550.0,0.8571428571428571,0.6,0.775,30.2,65.0,75.0,168.92284423849716,84.76076804327825,84.16207619521889,0.003480379448911579,0.000945624997257255,,,,0.0009459589928155765,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.3396291670069331,1.3396291670069331,0.4806190420058556,0.057344582994119264,1.877592792006908,False,,,,57261.0,15597.0,156210.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,HiGHS-5s,,,,,,,,,,,,,,,,,,,7.971761208013049,7.971761208013049,0.4806190420058556,0.057344582994119264,8.509724833013024,False,,,,57261.0,15597.0,156210.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,5.0,1.0
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,HiGHS-15s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,15.184008791999076,15.184008791999076,0.4806190420058556,0.057344582994119264,15.721972416999051,False,,-0.0,0.7063895346566202,57261.0,15597.0,156210.0,Time limit reached. (HiGHS Status 13: Time limit reached),True,0.0,15.0,1.0
20260808_112401-0400,20260808_112401-0400-0007,7,150,A4x4_T20_S7,7,20,HiGHS-60s,0.7023826173201497,0.948780487804878,0.9448275862068964,18.0,0.9,7.0,9.0,1900.0,1.0,0.9,0.95,37.55555555555556,80.0,102.0,183.77429737218165,95.26850588128845,88.50579149089319,0.0038219850510307057,24.680285833004746,24.680285833004746,0.4806190420058556,0.057344582994119264,25.21824945800472,True,0.0,0.7023826173201494,0.7023826173201494,57261.0,15597.0,156210.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
