Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,MIP Nodes,Time Limit sec
20260731_124647-0400,20260731_124647-0400-0087,87,150,A4x4_T40_S27,27,40,HiGHS-5s,,,,,,,,,,,,,,,,,,,7.515518832951784,7.515518832951784,0.35109349992126226,0.05818445794284344,7.92479679081589,False,,,,74252.0,21018.0,201782.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,5.0
20260731_124647-0400,20260731_124647-0400-0087,87,150,A4x4_T40_S27,27,40,HiGHS-15s,0.3697785886849863,0.46348517715112075,0.4385382059800665,18.0,0.45,19.0,11.0,1600.0,0.5277777777777778,0.4583333333333333,0.31683168316831684,38.166666666666664,94.0,114.0,173.79029777295978,88.23020583457473,85.56009193838506,0.0021277286098448736,15.4330169580644,15.4330169580644,0.35109349992126226,0.05818445794284344,15.842294915928505,False,0.04218811164640953,0.3697785886849863,0.38537884906888026,74252.0,21018.0,201782.0,Time limit reached. (HiGHS Status 13: Time limit reached),0.0,15.0
20260731_124647-0400,20260731_124647-0400-0087,87,150,A4x4_T40_S27,27,40,HiGHS-60s,0.3847155474592438,0.5394070860448301,0.521594684385382,21.0,0.525,22.0,11.0,2350.0,0.6111111111111112,0.4583333333333333,0.46534653465346537,42.857142857142854,92.0,108.0,196.93766367261958,99.80388878440463,97.13377488821496,0.001953488937996024,17.769842915935442,17.769842915935442,0.35109349992126226,0.05818445794284344,18.179120873799548,True,0.0,0.38471554745924386,0.38471554745924386,74252.0,21018.0,201782.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,60.0
20260731_124647-0400,20260731_124647-0400-0087,87,150,A4x4_T40_S27,27,40,HiGHS-600s,0.3847155474592438,0.5394070860448301,0.521594684385382,21.0,0.525,22.0,11.0,2350.0,0.6111111111111112,0.4583333333333333,0.46534653465346537,42.857142857142854,92.0,108.0,196.93766367261958,99.80388878440463,97.13377488821496,0.001953488937996024,17.459019917063415,17.459019917063415,0.35109349992126226,0.05818445794284344,17.86829787492752,True,0.0,0.38471554745924386,0.38471554745924386,74252.0,21018.0,201782.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,600.0
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,Greedy-Benefit,0.28040183579612965,0.4483985765124555,0.4484848484848485,17.0,0.425,21.0,10.0,1000.0,0.44680851063829785,0.45454545454545453,0.4444444444444444,47.705882352941174,99.0,119.0,223.64788587330585,128.19730045660862,95.45058541669724,0.0012537647503405166,0.0018611669074743986,,,,0.0018614999717101455,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,Greedy-Density-Operational,0.3017639092886625,0.44270462633451957,0.4448484848484848,18.0,0.45,20.0,11.0,950.0,0.425531914893617,0.5,0.4222222222222222,39.0,83.0,108.0,225.0909226686012,112.8321513278853,112.25877134071592,0.0013406311801073651,0.001731291995383799,,,,0.0017316670855507255,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,Greedy-Density-Cycle,0.3017639092886625,0.44270462633451957,0.4448484848484848,18.0,0.45,20.0,11.0,950.0,0.425531914893617,0.5,0.4222222222222222,39.0,83.0,108.0,225.0909226686012,112.8321513278853,112.25877134071592,0.0013406311801073651,0.0015485839685425162,,,,0.0015488750068470836,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,HiGHS-1s,,,,,,,,,,,,,,,,,,,5.728857166017406,5.728857166017406,0.3938700419384986,0.05177754198666662,6.174504749942571,False,,,,66942.0,22180.0,178690.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,1.0
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.674734250060283,5.674734250060283,0.3938700419384986,0.05177754198666662,6.120381833985448,False,,,,66942.0,22180.0,178690.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,5.0
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,HiGHS-15s,0.35000324788332754,0.4647686832740213,0.45818181818181825,19.0,0.475,22.0,11.0,800.0,0.46808510638297873,0.5,0.35555555555555557,39.78947368421053,81.0,90.0,187.39919248209213,97.2292881352162,90.16990434687587,0.0018676881327371454,12.688393250107765,12.688393250107765,0.3938700419384986,0.05177754198666662,13.13404083403293,True,0.0,0.3500032478833275,0.3500032478833275,66942.0,22180.0,178690.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,15.0
