Tasks,Method,Normalized Mission Value,Normalized Mission Value,Normalized Mission Value,Weighted Impact Coverage,Weighted Impact Coverage,Weighted Impact Coverage,Physical Completed Tasks,Physical Completed Tasks,Physical Completed Tasks,Medical Evacuees,Medical Evacuees,Medical Evacuees,Personnel Transported,Personnel Transported,Personnel Transported,Cargo Delivered kg,Cargo Delivered kg,Cargo Delivered kg,Average Response Time,Average Response Time,Average Response Time,Total Flight Time,Total Flight Time,Total Flight Time,Runtime sec,Runtime sec,Runtime sec,End-to-end sec,End-to-end sec,End-to-end sec,MIP Gap,MIP Gap,MIP Gap
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
40,HiGHS-15s,0.3442509989915235,0.06339826420017541,28,0.4960161043905977,0.07863148076623419,28,17.785714285714285,2.2829017087120094,28,19.892857142857142,4.9913947113027595,28,11.392857142857142,4.210562430226629,28,1101.7857142857142,511.43989597582936,28,43.709903829953035,2.9386675399596833,28,228.56618614294285,30.45688802908453,28,9.089133027812931,4.224371720758711,30,9.466722168175814,4.34200604333855,30,12.302566050785044,65.05519697535827,28
40,HiGHS-1s,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,4.786947518071004,1.8622024492954994,30,5.164536658433887,1.9848170216479704,30,,,0
40,HiGHS-5s,0.31727137296208796,0.08484331138248606,10,0.44616588175838945,0.12764224141065433,10,15.8,3.966526608171604,10,18.1,5.626327003965869,10,10.6,5.378971401051816,10,985.0,525.4891900780538,10,40.547711548857066,4.78143162798703,10,209.08260523491617,37.146531603847016,10,5.292209966736846,1.6072399788635976,30,5.6697991070997285,1.7256245870072928,30,21.126078122958816,53.020665533812895,10
40,HiGHS-600s,0.3595035922499032,0.03709736698768541,30,0.5167456839927191,0.0440614396005327,30,18.6,1.7140393911700977,30,20.1,4.1385488044599095,30,12.333333333333334,4.389119252890261,30,1151.6666666666667,532.3149400517506,30,43.976121786566836,2.8916209796352734,30,231.2996950437424,21.6032462766723,30,11.200196282134858,10.261835038917159,30,11.577785422497739,10.39041244472914,30,0.0,0.0,30
40,HiGHS-60s,0.3595035922499032,0.03709736698768541,30,0.5167456839927191,0.0440614396005327,30,18.6,1.7140393911700977,30,20.1,4.1385488044599095,30,12.333333333333334,4.389119252890261,30,1151.6666666666667,532.3149400517506,30,43.976121786566836,2.8916209796352734,30,231.2996950437424,21.6032462766723,30,11.214229061066483,10.22264798676246,30,11.591818201429366,10.35114711013854,30,0.0,0.0,30
50,Greedy-Benefit,0.2517638487531163,0.03785211254108921,30,0.3871716909659734,0.04247096855780713,30,17.766666666666666,1.8510636892363257,30,19.833333333333332,3.4847780648011915,30,10.4,3.43008997569733,30,1140.0,537.4588997918978,30,47.21018074374886,3.834487598587974,30,245.58351418027266,27.726780586276366,30,0.002215376333333552,0.00017657922158855318,30,0.002215640266270687,0.00017657601796023547,30,,,0
50,Greedy-Density-Cycle,0.2601738025923187,0.04000390641918532,30,0.3984891562897868,0.052227306871726456,30,19.433333333333334,2.1764148522732065,30,18.833333333333332,4.480481295985752,30,12.066666666666666,3.6096932082202313,30,1365.0,528.5226645060283,30,43.936751704495684,2.8899400795060584,30,235.27279633990332,26.981157841970724,30,0.0019264471988814573,0.0001606170781056339,30,0.0019266776158474385,0.0001606339856039027,30,,,0
50,Greedy-Density-Operational,0.260703928787738,0.03966475096614998,30,0.3988930363594391,0.04967932219457689,30,19.433333333333334,2.062528300049662,30,18.933333333333334,4.585835262792512,30,12.0,3.732430104202706,30,1358.3333333333333,540.7662719877602,30,43.769298117497236,2.5592416020161646,30,233.77640864056576,25.459732200647345,30,0.0020055025971184174,0.0002941106110994582,30,0.002005749905947596,0.00029410957926411093,30,,,0
50,HiGHS-15s,0.27665046384707703,0.06617103649061228,21,0.40145221903320044,0.09799023812218081,21,17.761904761904763,3.5623694629384226,21,20.047619047619047,6.248809410409238,21,12.761904761904763,4.646555303714376,21,938.0952380952381,466.3434254668875,21,43.007237651123106,5.002268807383326,21,214.46519019237698,38.81797541969242,21,12.00525389306713,3.902637421164681,30,12.60966730263317,4.086222390742532,30,15.776630608882344,50.47706098975557,21
50,HiGHS-1s,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,6.84084770004265,3.2576971011783415,30,7.445261109608691,3.4796394483265147,30,,,0
50,HiGHS-5s,0.25492293220594064,0.08785820139205923,4,0.388321468729922,0.1115452238836909,4,18.0,2.581988897471611,4,19.0,8.717797887081348,4,15.75,2.7537852736430515,4,787.5,337.5771516754849,4,43.74927023440955,2.1628272420846395,4,224.7690011151633,10.499751103519847,4,7.165647908397174,2.970247810442489,30,7.770061317963215,3.1945767206485005,30,29.896976092699855,59.76970808300414,4
50,HiGHS-600s,0.3048596486760937,0.03618554971238114,30,0.44303984115889705,0.043675814258092326,30,20.066666666666666,2.2117762144910835,30,21.433333333333334,4.215597747391951,30,14.0,4.299157896692055,30,1205.0,514.840115790899,30,45.403399004240306,2.752487811806952,30,232.57546572999289,21.59339096468036,30,25.106534751535705,25.116730798427703,30,25.710948161101744,25.326729894507853,30,0.0,0.0,30
50,HiGHS-60s,0.298114653110314,0.04186738790740452,30,0.4359033956542868,0.050425862961284734,30,19.7,2.230664042155501,30,21.2,4.551619643523648,30,13.7,4.284293689021926,30,1165.0,508.7425336230904,30,45.24997564526354,2.59859708875565,30,230.6983575856764,22.49951227552681,30,22.465843444294297,18.418672328972075,30,23.070256853860336,18.644160495534823,30,0.0299399248794217,0.09864392480150602,30
