Scenario,Tasks,Method,Accumulated Benefit,Physical Completed Tasks,Average Response Time,Maximum Response Time,Productive Time,Active Time,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
default_nodes_T40_S1,40,Exact-HiGHS,0.28111179509661055,21,48.476190476190474,119.0,239.16218654697224,378.3243730939445,113.16218654697225,113.16218654697225,226.3243730939445,26.0,252.3243730939445,1.9833877086639404,True,0.0,14757.0,2924.0,38752.0
default_nodes_T40_S2,40,Greedy,0.26728104884365367,20,47.95,119.0,248.81675334682092,401.7830579365792,128.81675334682092,124.96630458975828,253.7830579365792,28.0,281.7830579365792,0.0004241466522216797,False,,,,
default_nodes_T40_S2,40,Exact-HiGHS,0.2986543836798649,22,49.18181818181818,112.0,262.18004358354074,420.40684575887497,130.1800435835407,128.22680217533423,258.40684575887497,30.0,288.40684575887497,1.8602228164672852,True,0.0,16035.0,3222.0,41990.0
default_nodes_T40_S3,40,Greedy,0.2415591398737528,19,47.473684210526315,94.0,234.10980406795204,376.2663667276976,120.10980406795203,118.15656265974555,238.26636672769757,24.0,262.2663667276976,0.0004639625549316406,False,,,,
default_nodes_T40_S3,40,Exact-HiGHS,0.27571783881677814,20,46.2,107.0,236.98763795572967,379.97527591145933,116.98763795572968,116.98763795572968,233.97527591145936,26.0,259.97527591145933,3.2729408740997314,True,0.0,14683.0,2905.0,38566.0
default_nodes_T50_S1,50,Greedy,0.1996918015465007,20,50.3,114.0,252.92266191490432,413.70712003928156,132.92266191490432,132.78445812437724,265.70712003928156,28.0,293.70712003928156,0.0005488395690917969,False,,,,
default_nodes_T50_S1,50,Exact-HiGHS,0.2291988311674629,20,46.6,104.0,232.6371230213061,339.09267950265473,112.63712302130611,86.45555648134861,199.09267950265473,20.0,219.09267950265473,2.0395920276641846,True,0.0,16881.0,3020.0,44952.0
default_nodes_T50_S2,50,Greedy,0.21379554443385643,20,47.95,119.0,248.81675334682092,401.7830579365792,128.81675334682092,124.96630458975828,253.7830579365792,28.0,281.7830579365792,0.0005381107330322266,False,,,,
default_nodes_T50_S2,50,Exact-HiGHS,0.24562114977851363,23,48.91304347826087,104.0,257.20008938973535,404.57715346514465,119.20008938973538,117.37706407540931,236.5771534651447,30.0,266.5771534651447,2.8122458457946777,True,0.0,18182.0,3294.0,48315.0
default_nodes_T50_S3,50,Greedy,0.20134847538977377,19,48.36842105263158,114.0,240.1707193352653,392.2032348800035,126.1707193352653,126.03251554473819,252.2032348800035,26.0,278.2032348800035,0.0005247592926025391,False,,,,
default_nodes_T50_S3,50,Exact-HiGHS,0.22204474679351843,20,45.4,102.0,234.2875089169637,374.4368140434003,114.28750891696372,114.14930512643662,228.43681404340032,26.0,254.43681404340032,1.9936490058898926,True,0.0,16549.0,2978.0,44038.0
default_nodes_T60_S1,60,Greedy,0.17600898609566745,21,49.23809523809524,114.0,242.9679542696453,387.7977047487635,116.96795426964529,116.82975047911819,233.79770474876346,28.0,261.79770474876346,0.0006651878356933594,False,,,,
default_nodes_T60_S1,60,Exact-HiGHS,0.20526479969441003,22,48.5,119.0,254.13181312494896,389.63463604540595,122.13181312494895,109.50282292045698,231.63463604540593,26.0,257.63463604540595,2.731689929962158,True,0.0,21599.0,3360.0,58446.0
default_nodes_T60_S2,60,Greedy,0.1828978313512804,21,48.80952380952381,117.0,257.71112023546436,417.4689990627222,131.71112023546434,129.75787882725785,261.4689990627222,30.0,291.4689990627222,0.0006718635559082031,False,,,,
default_nodes_T60_S2,60,Exact-HiGHS,0.20499358903306736,24,51.041666666666664,117.0,273.8606053010408,435.7212106020815,129.86060530104075,129.86060530104072,259.72121060208144,32.0,291.72121060208144,4.020779848098755,True,0.0,21459.0,3326.0,58103.0
