tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
20,218,22270,0.286761,36,1011
20,218,22310,0.381439,40,1006
20,218,22346,0.244795,36,1060
20,218,22387,0.375785,41,1032
20,218,22429,0.270631,42,1027
20,218,22474,0.271406,45,1031
20,218,22508,0.337937,34,1043
20,218,22550,0.211033,42,1030
20,218,22594,0.358444,44,1006
20,218,22630,0.267232,36,1012
20,218,22669,0.368952,39,1026
20,218,22705,0.244307,36,1037
20,218,22739,0.270938,34,1052
20,218,22771,0.253921,32,1044
20,218,22806,0.328578,35,1027
20,218,22846,0.267914,40,1036
20,218,22878,0.257072,32,1017
20,218,22917,0.167712,39,1012
20,218,22955,0.231415,38,1035
20,218,22989,0.20227,34,1052
20,218,23019,0.299691,30,1052
20,218,23051,0.264753,32,1022
20,218,23089,0.24424,38,1033
20,218,23129,0.373764,40,1046
20,218,23171,0.288383,42,1042
20,218,23210,0.235762,39,1003
20,218,23245,0.368309,35,1011
20,218,23284,0.250363,39,1057
20,218,23319,0.311385,35,1040
20,218,23350,0.321557,31,1043
20,218,23393,0.306477,43,1056
20,218,23434,0.313855,41,1023
20,218,23479,0.306948,45,1016
20,218,23514,0.289544,35,1055
20,218,23557,0.301958,43,1050
20,218,23593,0.245278,36,1040
20,218,23637,0.277786,44,1001
20,218,23677,0.298833,40,1033
20,218,23712,0.290956,35,1036
20,218,23753,0.339385,41,1008
20,218,23785,0.273305,32,1031
20,218,23826,0.390548,41,1006
20,218,23860,0.210877,34,1030
20,218,23894,0.301514,34,1058
20,218,23935,0.210792,41,1014
20,218,23973,0.272717,38,1040
20,218,24013,0.284935,40,1042
20,218,24048,0.276736,35,1017
20,218,24088,0.449068,40,1009
20,218,24123,0.291023,35,1017
20,218,24166,0.440865,43,1004
20,218,24202,0.242071,36,1060
20,218,24243,0.267793,41,1021
20,218,24272,0.253464,29,1038
20,218,24310,0.326612,38,1056
20,218,24347,0.355284,37,1016
20,218,24390,0.206928,43,1022
20,218,24429,0.368441,39,1014
20,218,24468,0.313268,39,1039
20,218,24501,0.217576,33,1030
20,218,24539,0.298009,38,1054
20,218,24574,0.313384,35,1050
20,218,24611,0.360062,37,1031
20,218,24650,0.267627,39,1026
20,218,24683,0.327124,33,1054
20,218,24723,0.375482,40,1028
20,218,24760,0.238675,37,1003
20,218,24796,0.313005,36,1042
20,218,24831,0.240289,35,1031
20,218,24866,0.297106,35,1041
20,218,24902,0.197273,36,1051
20,218,24936,0.246479,34,1001
20,218,24973,0.196584,37,1057
20,218,25009,0.313332,36,1034
20,218,25052,0.274897,43,1054
20,218,25092,0.282456,40,1055
20,218,25122,0.227521,30,1017
20,218,25152,0.275066,30,1060
20,218,25186,0.247069,34,1012
20,218,25227,0.295394,41,1037
20,218,25272,0.382297,45,1032
20,218,25312,0.386546,40,1028
20,218,25350,0.27655,38,1025
20,218,25388,0.21379,38,1038
20,218,25435,0.375449,47,1032
20,218,25467,0.244429,32,1060
20,218,25504,0.340096,37,1041
20,218,25535,0.255989,31,1034
20,218,25572,0.334698,37,1013
20,218,25614,0.363644,42,1048
20,218,25655,0.28252,41,1048
20,218,25695,0.27426,40,1003
20,218,25733,0.276819,38,1021
20,218,25772,0.318165,39,1023
20,218,25812,0.300037,40,1016
20,218,25848,0.285338,36,1057
20,218,25882,0.292748,34,1027
20,218,25913,0.346279,31,1014
20,218,25951,0.2013,38,1057
20,218,25987,0.199616,36,1060
20,218,26020,0.283105,33,1034
20,218,26058,0.204384,38,1047
20,218,26094,0.253113,36,1035
20,218,26134,0.296271,40,1058
20,218,26172,0.278025,38,1038
20,218,26213,0.353892,41,1019
20,218,26253,0.285007,40,1019
20,218,26293,0.289344,40,1016
20,218,26334,0.363933,41,1058
20,218,26371,0.324354,37,1007
20,218,26408,0.346433,37,1053
20,218,26435,0.275675,27,1050
20,218,26475,0.25496,40,1034
20,218,26522,0.318867,47,1049
20,218,26558,0.203702,36,1002
20,218,26599,0.216294,41,1019
20,218,26640,0.34872,41,1006
20,218,26681,0.2901,41,1013
20,218,26722,0.338041,41,1050
20,218,26754,0.247376,32,1057
20,218,26785,0.198631,31,1030
20,218,26830,0.294908,45,1020
20,218,26868,0.320133,38,1058
20,218,26905,0.34452,37,1004
20,218,26946,0.374329,41,1024
20,218,26981,0.194777,35,1022
20,218,27016,0.218754,35,1022
20,218,27052,0.243818,36,1008
20,218,27091,0.266472,39,1002
20,218,27126,0.419144,35,1025
20,218,27164,0.333017,38,1028
20,218,27203,0.230972,39,1056
20,218,27241,0.23271,38,1051
20,218,27284,0.350716,43,1049
20,218,27322,0.390188,38,1028
20,218,27358,0.256,36,1012
20,218,27392,0.271206,34,1052
20,218,27428,0.303465,36,1043
20,218,27466,0.264715,38,1001
20,218,27509,0.236725,43,1004
20,218,27543,0.255955,34,1027
20,218,27581,0.317308,38,1058
20,218,27615,0.269908,34,1015
20,218,27646,0.306932,31,1015
20,218,27687,0.279758,41,1025
20,218,27724,0.255048,37,1014
20,218,27762,0.323691,38,1058
20,218,27803,0.350658,41,1011
20,218,27841,0.279052,38,1034
20,218,27875,0.249418,34,1013
20,218,27910,0.259888,35,1052
20,218,27951,0.391693,41,1028
20,218,27992,0.325533,41,1012
20,218,28028,0.282993,36,1051
20,218,28066,0.301769,38,1038
20,218,28105,0.368019,39,1056
20,218,28136,0.274463,31,1015
20,218,28180,0.319685,44,1036
20,218,28222,0.284538,42,1047
20,218,28254,0.366303,32,1056
20,218,28296,0.23841,42,1008
20,218,28339,0.288845,43,1036
20,218,28385,0.324053,46,1016
20,218,28423,0.304662,38,1028
20,218,28455,0.280668,32,1035
20,218,28497,0.301312,42,1036
20,218,28533,0.322334,36,1014
20,218,28568,0.257104,35,1015
20,218,28603,0.383125,35,1039
20,218,28640,0.335054,37,1016
20,218,28675,0.18659,35,1060
20,218,28708,0.323228,33,1027
20,218,28748,0.354897,40,1001
20,218,28791,0.383601,43,1037
