Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T60_S25,Exact-HiGHS,4,19,B,9.375,6.0,15.375,70.0,0.001434780180091703,100,3,0,Task Executed
default_nodes_T60_S25,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,79.0,0.0,500,3,3,Idle
default_nodes_T60_S25,Exact-HiGHS,3,40,D,19.1662969499982,6.0,25.1662969499982,80.0,0.0007095985556124096,350,2,2,Task Executed
default_nodes_T60_S25,Exact-HiGHS,2,27,C,15.811388300841896,6.0,21.811388300841898,82.0,0.00040941263868838495,100,3,0,Task Executed
default_nodes_T60_S25,Exact-HiGHS,4,Idle,Base,9.375,2.0,11.375,82.0,0.0,500,3,3,Idle
default_nodes_T60_S25,Exact-HiGHS,3,60,D,0.0,6.0,6.0,86.0,0.00037754325599588794,200,1,1,Task Executed
default_nodes_T60_S25,Exact-HiGHS,3,20,D,0.0,6.0,6.0,92.0,7.080268540620307e-05,50,0,0,Task Executed
default_nodes_T60_S25,Exact-HiGHS,1,36,C,12.649110640673518,6.0,18.64911064067352,98.0,4.145877757971649e-05,350,2,2,Task Executed
default_nodes_T60_S25,Exact-HiGHS,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,100.0,0.0,500,3,3,Idle
default_nodes_T60_S25,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,113.0,0.0,500,3,3,Idle
default_nodes_T60_S25,Exact-HiGHS,3,Idle,Base,19.1662969499982,2.0,21.1662969499982,114.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,2,A,4.47213595499958,6.0,10.47213595499958,11.0,0.017777777777777778,200,2,1,Task Executed
default_nodes_T60_S26,Greedy,2,10,B,12.5,6.0,18.5,19.0,0.01666257627247129,200,2,1,Task Executed
default_nodes_T60_S26,Greedy,3,3,A,4.79157423749955,6.0,10.79157423749955,11.0,0.017777777777777778,400,0,3,Task Executed
default_nodes_T60_S26,Greedy,4,22,D,16.770509831248425,6.0,22.770509831248425,23.0,0.015871881913094767,200,2,1,Task Executed
default_nodes_T60_S26,Greedy,1,29,A,0.0,6.0,6.0,17.0,0.017777777777777778,0,0,0,Task Executed
default_nodes_T60_S26,Greedy,3,15,A,0.0,6.0,6.0,17.0,0.013333333333333334,0,0,0,Task Executed
default_nodes_T60_S26,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,24.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,24.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,2,Idle,Base,12.5,2.0,14.5,34.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,42.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,36,A,4.47213595499958,6.0,10.47213595499958,35.0,0.015553398344354707,350,2,2,Task Executed
default_nodes_T60_S26,Greedy,3,56,A,4.79157423749955,6.0,10.79157423749955,35.0,0.01412443898058198,350,2,2,Task Executed
default_nodes_T60_S26,Greedy,2,52,A,5.5901699437494745,6.0,11.590169943749475,46.0,0.009797352547787321,300,3,0,Task Executed
default_nodes_T60_S26,Greedy,1,49,A,0.0,6.0,6.0,41.0,0.009916989062853805,150,0,1,Task Executed
default_nodes_T60_S26,Greedy,3,48,A,0.0,6.0,6.0,41.0,0.008888888888888889,200,1,1,Task Executed
default_nodes_T60_S26,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,48.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,3,40,C,8.835226340609273,6.0,14.835226340609273,56.0,0.0062350701077813295,50,0,0,Task Executed
default_nodes_T60_S26,Greedy,4,7,B,9.375,6.0,15.375,58.0,0.005605562041946522,100,3,0,Task Executed
default_nodes_T60_S26,Greedy,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,54.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,47,B,10.0,6.0,16.0,64.0,0.0030994557930501426,100,3,0,Task Executed
default_nodes_T60_S26,Greedy,2,39,C,15.811388300841896,6.0,21.811388300841898,76.0,0.001048981083844499,100,3,0,Task Executed
default_nodes_T60_S26,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,72.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,4,Idle,Base,9.375,2.0,11.375,70.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,34,B,0.0,6.0,6.0,70.0,0.00021497182138681777,0,0,0,Task Executed
default_nodes_T60_S26,Greedy,1,Idle,Base,10.0,2.0,12.0,82.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,4,27,B,9.375,6.0,15.375,86.0,0.00012850356102518426,100,3,0,Task Executed
default_nodes_T60_S26,Greedy,3,60,B,10.714285714285714,6.0,16.714285714285715,89.0,0.00013695137418777827,350,2,2,Task Executed
default_nodes_T60_S26,Greedy,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,94.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,58,A,4.47213595499958,6.0,10.47213595499958,93.0,2.308059538588498e-05,400,0,3,Task Executed
default_nodes_T60_S26,Greedy,4,Idle,Base,9.375,2.0,11.375,98.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,3,20,B,0.0,6.0,6.0,95.0,3.850555663729229e-05,200,1,1,Task Executed
default_nodes_T60_S26,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,100.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,108.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,1,38,A,4.47213595499958,6.0,10.47213595499958,111.0,1.792972333491254e-06,400,0,3,Task Executed
default_nodes_T60_S26,Greedy,3,26,A,4.79157423749955,6.0,10.79157423749955,119.0,5.428383528727643e-07,400,0,3,Task Executed
default_nodes_T60_S26,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,118.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Greedy,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,126.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,3,56,A,4.79157423749955,6.0,10.79157423749955,11.0,0.017777777777777778,350,2,2,Task Executed
default_nodes_T60_S26,Exact-HiGHS,2,2,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.017777777777777778,200,2,1,Task Executed
default_nodes_T60_S26,Exact-HiGHS,1,33,B,10.0,6.0,16.0,16.0,0.017777777777777778,350,2,2,Task Executed
default_nodes_T60_S26,Exact-HiGHS,4,10,B,9.375,6.0,15.375,16.0,0.017777777777777778,200,2,1,Task Executed
default_nodes_T60_S26,Exact-HiGHS,3,48,A,0.0,6.0,6.0,17.0,0.017777777777777778,200,1,1,Task Executed
default_nodes_T60_S26,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,20.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,1,17,B,0.0,6.0,6.0,22.0,0.017777777777777778,200,1,1,Task Executed
default_nodes_T60_S26,Exact-HiGHS,3,36,A,0.0,6.0,6.0,23.0,0.017777777777777778,50,0,0,Task Executed
default_nodes_T60_S26,Exact-HiGHS,1,16,B,0.0,6.0,6.0,28.0,0.017777777777777778,50,0,0,Task Executed
default_nodes_T60_S26,Exact-HiGHS,4,Idle,Base,9.375,2.0,11.375,28.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,30.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,2,15,A,5.5901699437494745,6.0,11.590169943749475,32.0,0.013068190871274164,100,3,0,Task Executed
default_nodes_T60_S26,Exact-HiGHS,4,52,A,4.192627457812106,6.0,10.192627457812106,39.0,0.012291587082798752,300,3,0,Task Executed
default_nodes_T60_S26,Exact-HiGHS,1,Idle,Base,10.0,2.0,12.0,40.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,40.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,4,Idle,Base,4.192627457812106,2.0,6.192627457812106,46.0,0.0,500,3,3,Idle
default_nodes_T60_S26,Exact-HiGHS,3,25,C,13.552618543578768,6.0,19.552618543578767,50.0,0.008888888888888889,350,2,2,Task Executed
default_nodes_T60_S26,Exact-HiGHS,1,60,B,10.0,6.0,16.0,56.0,0.004083061946405549,350,2,2,Task Executed
default_nodes_T60_S26,Exact-HiGHS,3,53,C,0.0,6.0,6.0,56.0,0.0034622081517023603,200,1,1,Task Executed
