Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T20_S14,Greedy,1,2,B,10.0,6.0,16.0,75.0,0.002217013182687742,150,3,3,Task Executed
default_nodes_T20_S14,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,80.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Greedy,1,Idle,Base,10.0,2.0,12.0,87.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Greedy,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,95.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,3,9,A,4.79157423749955,6.0,10.79157423749955,11.0,0.04918032786885246,200,3,2,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,1,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.04918032786885246,400,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,1,10,B,10.0,6.0,16.0,16.0,0.04918032786885246,450,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,7,A,0.0,6.0,6.0,18.0,0.03278688524590164,0,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,18.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,4,3,C,11.858541225631424,6.0,17.858541225631424,18.0,0.06318163900913956,150,2,3,Task Executed
default_nodes_T20_S14,Exact-HiGHS,1,18,B,0.0,6.0,6.0,22.0,0.06381142447217555,250,2,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,4,16,C,0.0,6.0,6.0,24.0,0.040158231348829926,100,2,1,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,26.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,1,20,B,0.0,6.0,6.0,28.0,0.03278688524590164,150,2,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,12,A,4.79157423749955,6.0,10.79157423749955,29.0,0.06557377049180328,150,2,2,Task Executed
default_nodes_T20_S14,Exact-HiGHS,4,17,C,0.0,6.0,6.0,30.0,0.04918032786885246,0,2,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,36.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,2,6,A,5.5901699437494745,6.0,11.590169943749475,38.0,0.03545097439899957,150,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,1,Idle,Base,10.0,2.0,12.0,40.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,44.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,46.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,1,2,B,10.0,6.0,16.0,56.0,0.012228561739471013,150,3,3,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,11,C,13.552618543578768,6.0,19.552618543578767,56.0,0.023245773327005444,250,3,1,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,15,A,5.5901699437494745,6.0,11.590169943749475,58.0,0.006564078653036656,0,3,3,Task Executed
