Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
default_nodes_T50_S16,50,Greedy,0.20692078631163704,0.22443599651712018,16,0.32,16,0.32,13,0.26,42.3125,92.0,102.0,224.44593943355736,370.2212524335454,0.5501125966508759,0.9074050304743759,128.44593943355736,127.77531299998799,256.2212524335454,18.0,274.2212524335454,0.7071067811865476,0.09375,8.053309164755689,0.04130020758829889,0.0008709430694580078,False,,,,,
default_nodes_T50_S16,50,Exact-HiGHS,0.2668003999443029,0.0,19,0.38,19,0.38,18,0.36,40.05263157894737,90.0,97.0,227.99898161759944,363.4126751556255,0.5876262412824728,0.9366306060711997,113.99898161759943,113.41369353802607,227.4126751556255,22.0,249.4126751556255,0.82915619758885,0.09210526315789469,4.289328155719683,0.025350213750578776,16.390953302383423,True,0.0,90986.0,27720.0,245292.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S17,50,Greedy,0.22973402205690208,0.14075388724575957,17,0.34,17,0.34,14,0.28,43.470588235294116,101.0,121.0,226.83053776123768,375.0108189944071,0.4686581358703258,0.7748157417239816,124.83053776123768,124.1802812331694,249.0108189944071,24.0,273.0108189944071,1.0897247358851685,0.13235294117647056,14.626089598155804,0.0805461091033901,0.0010409355163574219,False,,,,,
default_nodes_T50_S17,50,Exact-HiGHS,0.2673669611614642,0.0,21,0.42,21,0.42,16,0.32,47.61904761904762,100.0,120.0,254.79401437020098,409.5212750769843,0.530820863271252,0.8531693230770506,128.79401437020098,126.7272607067833,255.5212750769843,28.0,283.5212750769843,0.4330127018922193,0.03571428571428581,13.839176228977534,0.07339133435074041,7.328213930130005,True,0.0,71171.0,24804.0,188763.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S18,50,Greedy,0.21386078785629364,0.21380165227714892,17,0.34,17,0.34,14,0.28,43.05882352941177,82.0,97.0,217.15278892895654,339.13019212833643,0.5596721364148365,0.8740468869287021,115.15278892895654,103.97740319937989,219.13019212833643,18.0,237.13019212833643,0.82915619758885,0.10294117647058831,6.558199664824724,0.04089640583819176,0.0008549690246582031,False,,,,,
default_nodes_T50_S18,50,Exact-HiGHS,0.27201887217865717,-2.0407095576368355e-16,22,0.44,22,0.44,17,0.34,47.40909090909091,95.0,111.0,262.5730382886194,399.9676226674612,0.5913807168662599,0.9008279789807685,130.57303828861936,117.39458437884187,247.96762266746123,20.0,267.9676226674612,0.5,0.045454545454545414,8.146221789252495,0.04332032988581003,16.8269259929657,True,0.0,69746.0,19788.0,189504.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S19,50,Greedy,0.20731952053693067,0.16302342462459618,16,0.32,16,0.32,14,0.28,43.0,79.0,98.0,217.71443158465587,354.2715791000134,0.5553939581241221,0.9037540283163608,121.71443158465587,120.55714751535754,242.2715791000134,16.0,258.2715791000134,0.7071067811865476,0.09375,7.232918069316428,0.04171530366120901,0.0012459754943847656,False,,,,,
default_nodes_T50_S19,50,Exact-HiGHS,0.2477005051711787,1.1205296330117628e-16,18,0.36,18,0.36,16,0.32,42.22222222222222,91.0,103.0,231.07786550090688,360.98117193886264,0.5608686055847254,0.8761678930554918,123.07786550090688,111.90330643795576,234.98117193886264,18.0,252.98117193886264,0.8660254037844386,0.08333333333333326,8.369990042043524,0.051119132360281316,10.423680067062378,True,0.0,37381.0,13639.0,98558.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S20,50,Greedy,0.20353584584343662,0.2406301013748029,17,0.34,17,0.34,14,0.28,44.529411764705884,92.0,108.0,224.3492480983873,364.64056110643673,0.5193269631907114,0.8440753729315665,122.34924809838729,120.2913130080494,242.64056110643668,20.0,262.6405611064367,1.0897247358851685,0.13235294117647056,11.90621281338299,0.0726531685966556,0.001088857650756836,False,,,,,
default_nodes_T50_S20,50,Exact-HiGHS,0.2680325441025888,4.142120235221216e-16,22,0.44,22,0.44,17,0.34,44.31818181818182,92.0,108.0,249.66858323714564,388.51025015280896,0.5779365352711705,0.8993292827611319,117.66858323714564,116.84166691566334,234.51025015280896,22.0,256.51025015280896,0.8660254037844386,0.06818181818181812,8.902161651925612,0.04760569287009986,17.77748203277588,True,0.0,70277.0,21622.0,189263.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S21,50,Greedy,0.24113431470102878,0.11026137394982277,18,0.36,18,0.36,15,0.3,42.5,94.0,112.0,236.91120834977664,381.4976826271517,0.5288196614950371,0.8515573272927492,128.91120834977664,126.58647427737506,255.4976826271517,18.0,273.4976826271517,0.5,0.05555555555555558,8.973433660888286,0.048186223622607605,0.0009620189666748047,False,,,,,
default_nodes_T50_S21,50,Exact-HiGHS,0.27101702414730267,0.0,19,0.38,19,0.38,17,0.34,42.31578947368421,98.0,114.0,232.21699117188174,371.26888091345756,0.5092477876576355,0.8141861423540736,118.21699117188174,117.05188974157583,235.26888091345756,22.0,257.26888091345756,0.4330127018922193,0.03947368421052633,12.094541763584957,0.06997208531475341,19.977461099624634,True,0.0,82423.0,25444.0,221879.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S22,50,Greedy,0.2611998518635039,0.1088618748104329,22,0.44,22,0.44,19,0.38,43.36363636363637,89.0,99.0,237.96460499589324,371.5938967750018,0.6009207196865991,0.9383684261994995,105.96460499589324,105.62929177910854,211.59389677500178,28.0,239.59389677500178,1.5,0.13636363636363646,2.2448150673433203,0.013498093385510668,0.0013780593872070312,False,,,,,
default_nodes_T50_S22,50,Exact-HiGHS,0.29310815515601496,0.0,22,0.44,22,0.44,20,0.4,39.72727272727273,83.0,94.0,225.36248468686512,344.27788508468393,0.5993683103374072,0.9156326730975637,93.3624846868651,92.91540039781884,186.27788508468393,26.0,212.27788508468393,1.118033988749895,0.11363636363636354,4.492729952771538,0.029126766810805282,5.196979999542236,True,0.0,35039.0,12441.0,92730.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S23,50,Greedy,0.20672831503170322,0.21314702483027909,18,0.36,18,0.36,15,0.3,45.44444444444444,98.0,111.0,243.68131742339597,377.3233981612493,0.5488317959986395,0.849827473336147,135.68131742339597,113.64208073785336,249.32339816124932,20.0,269.3233981612493,0.5,0.05555555555555558,11.282653567276578,0.06647413810165093,0.0010941028594970703,False,,,,,
default_nodes_T50_S23,50,Exact-HiGHS,0.2627280083513859,-2.112875272780753e-16,18,0.36,18,0.36,15,0.3,40.0,89.0,108.0,225.2419015004255,359.82180625304665,0.5213932905102442,0.8329208478079784,117.24190150042551,114.57990475262115,231.82180625304665,20.0,251.82180625304665,0.8660254037844386,0.08333333333333326,13.735967527074328,0.08362117818329429,19.734884023666382,True,0.0,66169.0,21911.0,176650.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S24,50,Greedy,0.18905915290517977,0.19161663378641114,17,0.34,17,0.34,13,0.26,44.1764705882353,93.0,112.0,253.16488500938726,385.6505352977873,0.5651001897530966,0.8608270877182752,151.16488500938726,116.48565028840008,267.6505352977873,16.0,283.6505352977873,0.4330127018922193,0.044117647058823595,9.50938889777285,0.05395503604651841,0.0007669925689697266,False,,,,,
default_nodes_T50_S24,50,Exact-HiGHS,0.2338731359487512,-1.186779127197876e-16,19,0.38,19,0.38,16,0.32,41.73684210526316,84.0,104.0,228.2442146397038,354.8893047235007,0.548663977499288,0.8530992902007228,114.24421463970381,106.64509008379687,220.8893047235007,20.0,240.8893047235007,0.82915619758885,0.09210526315789469,9.825903409038352,0.061610642892641954,32.267109870910645,True,0.0,91686.0,26219.0,248893.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S25,50,Greedy,0.23504134708193988,0.20350209861402868,19,0.38,19,0.38,15,0.3,46.21052631578947,95.0,120.0,252.16098786273076,372.00459690107465,0.5253353913806891,0.7750095768772388,138.16098786273076,97.84360903834389,236.00459690107465,22.0,258.00459690107465,0.4330127018922193,0.03947368421052633,13.975326506817296,0.07266069612127479,0.0010197162628173828,False,,,,,
default_nodes_T50_S25,50,Exact-HiGHS,0.2950934919890545,1.8811377661055573e-16,21,0.42,21,0.42,16,0.32,42.04761904761905,88.0,107.0,243.62196990619276,384.77042280507374,0.569210210061198,0.8989963149651256,117.62196990619276,117.14845289888098,234.77042280507374,24.0,258.77042280507374,0.4330127018922193,0.03571428571428581,5.13531674960987,0.028900102027035413,22.637744188308716,True,0.0,80005.0,25189.0,214880.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S26,50,Greedy,0.2796179222118748,0.1788959023043443,21,0.42,21,0.42,18,0.36,42.476190476190474,77.0,86.0,224.48932698790918,327.56242619500466,0.652585252871829,0.9522163552180368,98.4893269879092,81.07309920709547,179.56242619500466,22.0,201.56242619500466,0.4330127018922193,0.03571428571428581,1.2079212613628338,0.007970343193127727,0.0009071826934814453,False,,,,,
default_nodes_T50_S26,50,Exact-HiGHS,0.34053894383987804,6.520388018512118e-16,23,0.46,23,0.46,21,0.42,39.17391304347826,83.0,90.0,223.04943773213665,330.13987071088945,0.6195817714781574,0.9170551964191374,85.04943773213664,83.09043297875279,168.13987071088943,24.0,192.13987071088943,0.82915619758885,0.07608695652173902,5.199339619448788,0.03299187860065511,29.60055184364319,True,0.0,73094.0,21924.0,197412.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S27,50,Greedy,0.26733101429148487,0.18151540857141354,19,0.38,19,0.38,18,0.36,39.0,77.0,88.0,218.20286678590367,319.53427742459036,0.6198945079144991,0.9077678335925863,104.20286678590368,83.3314106386867,187.53427742459039,18.0,205.53427742459039,0.4330127018922193,0.03947368421052633,5.322402777649847,0.03310872736631998,0.0011670589447021484,False,,,,,
default_nodes_T50_S27,50,Exact-HiGHS,0.3266170396987926,1.58060861407225e-14,23,0.46,23,0.46,19,0.38,42.04347826086956,90.0,110.0,233.98150218780938,351.0850144866077,0.5317761413359304,0.7979204874695629,95.98150218780937,95.10351229879831,191.0850144866077,22.0,213.0850144866077,0.82915619758885,0.07608695652173902,13.862116127774573,0.08785598648463488,64.59589314460754,True,0.0,129355.0,32416.0,355703.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S28,50,Greedy,0.30956253803442624,0.12193384241089487,22,0.44,22,0.44,18,0.36,40.27272727272727,85.0,94.0,230.31698495468416,342.9436706118735,0.6125451727518195,0.9120842303507273,98.31698495468416,90.62668565718928,188.94367061187344,22.0,210.94367061187344,0.8660254037844386,0.06818181818181812,4.21810340793018,0.0264713399934291,0.001013040542602539,False,,,,,
