Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
6helos_7areas_T30_S14,30,Exact-HiGHS,0.5533410438115653,1.6051193556547089e-15,23.0,0.7666666666666667,23.0,0.7666666666666667,22.0,0.7333333333333333,37.47826086956522,86.0,103.0,299.74742312289266,482.563890993505,0.48502819275548975,0.7808477200542152,161.74742312289268,156.81646787061237,318.5638909935051,26.0,344.5638909935051,0.3726779962499649,0.03623188405797103,12.994619542208964,0.09010520347707685,33.89857292175293,True,0.0,119342.0,39438.0,318624.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S15,30,Greedy,0.447951637387222,0.15999631252917126,20.0,0.6666666666666666,20.0,0.6666666666666666,16.0,0.5333333333333333,39.6,79.0,100.0,311.35472285478846,497.40236614167225,0.5189245380913141,0.8290039435694537,191.35472285478846,160.04764328688378,351.40236614167225,26.0,377.40236614167225,0.4714045207910317,0.06666666666666672,13.11363177310146,0.08542519420187238,0.0007059574127197266,False,,,,,
6helos_7areas_T30_S15,30,Exact-HiGHS,0.533273417806012,0.0,24.0,0.8,24.0,0.8,21.0,0.7,39.208333333333336,81.0,100.0,314.16031840325,508.8434655602879,0.5236005306720833,0.8480724426004798,170.16031840325,168.68314715703784,338.8434655602878,26.0,364.8434655602878,0.5773502691896257,0.06944444444444449,9.832715774268003,0.06488150776197828,17.776570081710815,True,0.0,111915.0,42517.0,293264.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S16,30,Greedy,0.46962734887869734,0.22094870660731322,22.0,0.7333333333333333,22.0,0.7333333333333333,18.0,0.6,37.04545454545455,81.0,100.0,309.130457488433,487.4082812056946,0.5152174291473883,0.8123471353428243,177.13045748843302,152.27782371726158,329.4082812056946,26.0,355.4082812056946,0.4714045207910317,0.06060606060606055,12.705674506281744,0.08553021592114884,0.0005629062652587891,False,,,,,
6helos_7areas_T30_S16,30,Exact-HiGHS,0.6028195484194784,2.2855708265796926e-13,26.0,0.8666666666666667,26.0,0.8666666666666667,22.0,0.7333333333333333,39.65384615384615,90.0,111.0,324.1563913753418,519.8338626469831,0.48672130837138405,0.7805313252957704,168.1563913753418,165.67747127164125,333.83386264698305,30.0,363.83386264698305,0.7453559924999298,0.08974358974358972,17.02451589976901,0.11147939417879209,85.42234396934509,True,0.0,170103.0,61289.0,449056.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S17,30,Greedy,0.44212697763922115,0.21813683452292446,21.0,0.7,21.0,0.7,19.0,0.6333333333333333,36.523809523809526,78.0,99.0,312.47502473874874,503.1667593219711,0.5260522301999138,0.8470820864006248,186.47502473874877,166.69173458322237,353.16675932197114,24.0,377.16675932197114,0.5,0.07142857142857147,10.811289390446232,0.07017905038638379,0.0006489753723144531,False,,,,,
6helos_7areas_T30_S17,30,Exact-HiGHS,0.5654787143853297,3.9266660137047193e-16,23.0,0.7666666666666667,23.0,0.7666666666666667,22.0,0.7333333333333333,33.869565217391305,71.0,92.0,278.2117368825371,439.84606990223733,0.5040067697147411,0.7968225904026038,140.21173688253708,137.63433301970025,277.84606990223733,24.0,301.84606990223733,0.6871842709362768,0.09420289855072461,9.645381855202293,0.07281396290624349,55.494832277297974,True,0.0,167658.0,60588.0,442422.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S18,30,Greedy,0.48786977158646627,0.20209398889177824,21.0,0.7,21.0,0.7,20.0,0.6666666666666666,38.0,84.0,105.0,299.7192975491404,485.9119721430109,0.4757449167446673,0.7712888446714459,173.71929754914038,162.19267459387055,335.9119721430109,24.0,359.9119721430109,0.5,0.07142857142857147,13.513383830640985,0.0946745912908149,0.0006070137023925781,False,,,,,
6helos_7areas_T30_S18,30,Exact-HiGHS,0.6114376440263405,1.8157583777706175e-16,24.0,0.8,24.0,0.8,21.0,0.7,36.166666666666664,82.0,103.0,304.0241696107445,479.74409313688506,0.4919484945157678,0.7762849403509466,160.02416961074448,151.71992352614058,311.74409313688506,24.0,335.74409313688506,1.0,0.125,13.9394368656076,0.09832053414446203,22.466336965560913,True,0.0,143772.0,53882.0,377470.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S19,30,Greedy,0.5335428747572234,0.14894781126701373,22.0,0.7333333333333333,22.0,0.7333333333333333,18.0,0.6,39.31818181818182,89.0,110.0,333.69814642565643,490.4833894529688,0.5056032521600855,0.7431566506863164,201.69814642565643,134.7852430273124,336.4833894529688,22.0,358.4833894529688,0.7453559924999298,0.10606060606060612,16.236656593611396,0.1108445740630463,0.0005609989166259766,False,,,,,
6helos_7areas_T30_S19,30,Exact-HiGHS,0.626921453021038,9.385836139692313e-15,25.0,0.8333333333333334,25.0,0.8333333333333334,23.0,0.7666666666666667,38.04,84.0,105.0,306.5025890952045,476.1793268108921,0.48651204618286426,0.7558402012871304,156.50258909520448,145.67673771568764,302.1793268108921,24.0,326.1793268108921,1.0671873729054748,0.13999999999999999,15.606766053250135,0.10691420040382497,160.5147829055786,True,0.0,265842.0,87976.0,709586.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S20,30,Greedy,0.4291578215491065,0.1905716696219483,20.0,0.6666666666666666,20.0,0.6666666666666666,17.0,0.5666666666666667,37.05,80.0,101.0,300.44494775459737,500.0768162779377,0.4957837421693026,0.8252092677853757,180.4449477545974,177.63186852334033,358.0768162779377,22.0,380.0768162779377,0.9428090415820634,0.15000000000000005,14.489519902903004,0.09408317862764755,0.0005860328674316406,False,,,,,
6helos_7areas_T30_S20,30,Exact-HiGHS,0.5301986666919157,0.0,22.0,0.7333333333333333,22.0,0.7333333333333333,21.0,0.7,35.04545454545455,67.0,87.0,287.7891829811513,462.28888686015443,0.5513202739102516,0.8856108943681119,155.78918298115133,152.4997038790031,308.28888686015443,22.0,330.28888686015443,0.9428090415820634,0.13636363636363638,9.559025201199832,0.06222202102241129,14.923731803894043,True,0.0,84631.0,34081.0,219848.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S21,30,Greedy,0.540375043678838,0.16704676035347257,24.0,0.8,24.0,0.8,20.0,0.6666666666666666,37.708333333333336,72.0,92.0,298.47813478672936,460.57016993630964,0.5407212586716111,0.8343662498846189,154.47813478672938,138.09203514958028,292.57016993630964,24.0,316.57016993630964,0.5773502691896257,0.06944444444444449,6.64281513507285,0.047414267587618575,0.0006260871887207031,False,,,,,
6helos_7areas_T30_S21,30,Exact-HiGHS,0.6487459535040813,7.050708889587774e-14,25.0,0.8333333333333334,25.0,0.8333333333333334,21.0,0.7,36.88,86.0,104.0,313.2716238558238,488.757988825889,0.5020378587433074,0.7832660077337965,163.27162385582383,147.48636497006518,310.757988825889,28.0,338.757988825889,0.6871842709362768,0.0866666666666666,11.564355033395312,0.0772417562826296,195.87998366355896,True,0.0,286831.0,85623.0,774906.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S22,30,Greedy,0.5329596374461085,0.11720499140384198,22.0,0.7333333333333333,22.0,0.7333333333333333,21.0,0.7,35.81818181818182,81.0,92.0,266.421765961634,422.08338892807717,0.48264812674209057,0.764643820521879,134.42176596163398,131.66162296644322,266.08338892807717,24.0,290.08338892807717,0.9428090415820634,0.13636363636363638,9.584300499192086,0.07019144473438448,0.0006549358367919922,False,,,,,
6helos_7areas_T30_S22,30,Exact-HiGHS,0.6037184536120498,-3.677949607081541e-16,23.0,0.7666666666666667,23.0,0.7666666666666667,23.0,0.7666666666666667,32.30434782608695,68.0,91.0,261.4709442040309,406.66622120309273,0.4788845131941958,0.7448099289433933,123.47094420403091,121.19527699906182,244.66622120309273,24.0,268.66622120309273,0.6871842709362768,0.09420289855072461,9.95704285795619,0.07248180580898052,4.571887731552124,True,0.0,49202.0,20128.0,127514.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S23,30,Greedy,0.556988546542782,0.21362485474431903,25.0,0.8333333333333334,25.0,0.8333333333333334,20.0,0.6666666666666666,37.96,74.0,93.0,320.1633297326672,499.65787236537346,0.5737694081230594,0.8954442157085546,170.16332973266722,155.49454263270627,325.65787236537346,24.0,349.65787236537346,0.6871842709362768,0.0866666666666666,4.997780732974988,0.03340927062168886,0.0006477832794189453,False,,,,,
6helos_7areas_T30_S23,30,Exact-HiGHS,0.708298767964854,0.0,27.0,0.9,27.0,0.9,24.0,0.8,34.74074074074074,83.0,105.0,309.1250967243568,470.5688521500908,0.4906747567053283,0.746934685952525,147.12509672435684,135.44375542573397,282.56885215009083,26.0,308.56885215009083,0.5,0.055555555555555504,16.896386613566015,0.1208435401579974,131.5350821018219,True,0.0,263997.0,83313.0,708714.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S24,30,Greedy,0.5007580333764086,0.1334049374521248,23.0,0.7666666666666667,23.0,0.7666666666666667,20.0,0.6666666666666666,35.34782608695652,76.0,94.0,301.06352427770673,441.6497046326331,0.533800574960473,0.7830668521855196,163.0635242777067,120.58618035492636,283.6497046326331,20.0,303.6497046326331,0.3726779962499649,0.03623188405797103,12.72004715564266,0.09617578305510192,0.00061798095703125,False,,,,,
6helos_7areas_T30_S24,30,Exact-HiGHS,0.5778454724910697,7.108864543671812e-15,23.0,0.7666666666666667,23.0,0.7666666666666667,21.0,0.7,34.69565217391305,77.0,93.0,291.2980780364493,451.74604698392545,0.5220395663735651,0.8095807293618735,153.2980780364493,138.4479689474762,291.7460469839255,22.0,313.7460469839255,0.6871842709362768,0.09420289855072461,11.437009471075203,0.08365362835891481,176.0659739971161,True,0.0,295149.0,86706.0,798777.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S25,30,Greedy,0.4725545785550093,0.16815329109102728,19.0,0.6333333333333333,19.0,0.6333333333333333,17.0,0.5666666666666667,36.10526315789474,79.0,92.0,286.5726658884155,472.1512876028229,0.5191533802326368,0.8553465355123603,172.5726658884155,163.57862171440738,336.1512876028229,22.0,358.1512876028229,0.3726779962499649,0.04385964912280708,10.274189136151012,0.07081394569497279,0.0006480216979980469,False,,,,,
6helos_7areas_T30_S25,30,Exact-HiGHS,0.5680789182598275,5.276735450191211e-15,22.0,0.7333333333333333,22.0,0.7333333333333333,20.0,0.6666666666666666,37.36363636363637,76.0,88.0,287.6504383234691,457.6882315109299,0.5447924968247521,0.8668337718010035,155.65043832346907,144.03779318746084,299.6882315109299,26.0,325.6882315109299,0.7453559924999298,0.10606060606060612,10.379462391298546,0.0737139777120676,25.23134994506836,True,0.0,119378.0,48543.0,309627.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S26,30,Greedy,0.5657974071143695,0.1386632350082935,23.0,0.7666666666666667,23.0,0.7666666666666667,20.0,0.6666666666666666,35.608695652173914,86.0,109.0,304.7455953913586,466.96889705738647,0.4659718583965728,0.7140197202712332,166.74559539135865,142.22330166602788,308.9688970573865,20.0,328.9688970573865,0.6871842709362768,0.09420289855072461,15.722483681669864,0.11162221085992281,0.0007050037384033203,False,,,,,
6helos_7areas_T30_S26,30,Exact-HiGHS,0.6568829174728296,1.4873217672166585e-14,25.0,0.8333333333333334,25.0,0.8333333333333334,23.0,0.7666666666666667,33.76,77.0,99.0,296.8322415576446,461.4460931442958,0.499717578379873,0.7768452746536966,146.8322415576446,140.6138515866512,287.4460931442958,24.0,311.4460931442958,0.372677996249965,0.03333333333333336,10.249368514849726,0.06970994254317257,72.5903799533844,True,0.0,166033.0,60104.0,438031.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T30_S27,30,Greedy,0.4876891992133568,0.18355964935361413,21.0,0.7,21.0,0.7,18.0,0.6,39.57142857142857,89.0,116.0,339.4895152362833,553.0521175168119,0.4877722920061542,0.7946151113747297,213.4895152362833,189.5626022805286,403.0521175168119,24.0,427.0521175168119,0.7637626158259734,0.1031746031746031,13.21125119643919,0.08014090731847334,0.0006430149078369141,False,,,,,
