Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
6helos_7areas_T20_S18,20,Exact-HiGHS,0.7115923334892648,0.0,18,0.9,18,0.9,18,0.9,28.555555555555557,63.0,90.0,230.60960426390352,366.7595855603032,0.4270548227109324,0.6791844177042652,122.6096042639035,120.14998129639969,242.7595855603032,16.0,258.7595855603032,1.0,0.16666666666666666,19.45775372794597,0.17594902170384685,4.53363299369812,True,0.0,22276.0,7243.0,59611.0
6helos_7areas_T20_S19,20,Greedy,0.6238420784437751,0.1354276216355034,18,0.9,18,0.9,16,0.8,33.833333333333336,81.0,99.0,272.5420032574705,450.0156858403408,0.4588249213088729,0.7576021647143785,164.54200325747053,157.47368258287028,322.0156858403408,20.0,342.0156858403408,0.5773502691896257,0.09259259259259256,15.285558736471653,0.11478520966766492,0.00041604042053222656,False,,,,
6helos_7areas_T20_S19,20,Exact-HiGHS,0.7215614262670423,0.0,18,0.9,18,0.9,17,0.85,30.833333333333332,79.0,95.0,242.9538371010581,393.8811169001902,0.4262348019316809,0.691019503333667,134.9538371010581,132.9272797991321,267.8811169001902,18.0,285.8811169001902,0.816496580927726,0.14814814814814822,15.640041454557355,0.1294444252378709,2.569467782974243,True,0.0,27189.0,9239.0,72354.0
6helos_7areas_T20_S20,20,Greedy,0.5671627820766909,0.20901400790598237,18,0.9,18,0.9,15,0.75,39.0,79.0,103.0,282.5371009775776,467.9944598942825,0.457179775044624,0.7572725888256998,174.5371009775776,165.4573589167049,339.9944598942825,20.0,359.9944598942825,0.816496580927726,0.14814814814814822,16.278097920907893,0.11719902532655298,0.000347137451171875,False,,,,
6helos_7areas_T20_S20,20,Exact-HiGHS,0.7170326500665479,-1.5483576996418736e-16,18,0.9,18,0.9,17,0.85,30.444444444444443,76.0,98.0,232.09961059553768,369.3762860021661,0.39472722890397566,0.6281909625887179,124.09961059553768,121.27667540662841,245.3762860021661,16.0,261.3762860021661,1.1547005383792515,0.20370370370370372,17.179147466475595,0.14418439710606457,6.768630027770996,True,0.0,29328.0,10055.0,77955.0
6helos_7areas_T20_S21,20,Greedy,0.6169088053114019,0.12634592015393328,18,0.9,18,0.9,17,0.85,32.611111111111114,71.0,82.0,243.69432091698664,398.9783943629988,0.49531366040037933,0.8109316958597537,135.69432091698664,135.28407344601217,270.9783943629988,20.0,290.9783943629988,0.0,0.0,7.523209545700994,0.05930769603038207,0.0003693103790283203,False,,,,
6helos_7areas_T20_S21,20,Exact-HiGHS,0.7061247918857045,2.2011863233472213e-15,18,0.9,18,0.9,17,0.85,31.0,77.0,98.0,247.28994331664637,393.7787482910858,0.42056112808953466,0.6696917487943636,139.28994331664637,128.4888049744394,267.7787482910858,18.0,285.7787482910858,1.1547005383792515,0.20370370370370372,21.101040686894052,0.17656667614985144,8.538493156433105,True,0.0,32957.0,10980.0,87917.0
6helos_7areas_T20_S22,20,Greedy,0.5974503431220254,0.18138921771321043,17,0.85,17,0.85,15,0.75,34.470588235294116,81.0,103.0,282.77421391062137,474.68619858293613,0.45756345292980805,0.7681006449562073,180.77421391062134,171.91198467231476,352.6861985829361,20.0,372.6861985829361,0.6871842709362768,0.12745098039215685,16.297306069918484,0.11187792191077432,0.00042128562927246094,False,,,,
6helos_7areas_T20_S22,20,Exact-HiGHS,0.7298344415315823,2.4491295120238705e-14,20,1.0,20,1.0,18,0.9,33.9,79.0,100.0,268.94367591976373,424.3888081971288,0.4482394598662729,0.707314680328548,148.94367591976373,137.44513227736505,286.3888081971288,18.0,304.3888081971288,1.1055415967851334,0.18333333333333326,17.23776068518455,0.13556351655315182,9.684690952301025,True,0.0,28027.0,8904.0,75203.0
6helos_7areas_T20_S23,20,Greedy,0.6337825618947471,0.1124161363687109,16,0.8,16,0.8,15,0.75,29.25,75.0,87.0,224.86559555513145,364.19933705731444,0.43077700297917904,0.6976998794201426,128.86559555513145,123.33374150218302,252.19933705731447,16.0,268.19933705731444,0.7453559924999298,0.14583333333333334,13.715874918778642,0.12468898159194526,0.00032806396484375,False,,,,
